crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp
MA_ROTA,1,2,40.6,2192.4,1611414.0,0.0,1611414.0,443300.4745399998,67111.8,1040232.8999999999,41.762165525824514
MA_ROTA,2,2,367.53,19846.62,14587265.7,0.0,14587265.7,4012961.1676769983,607527.09,9416669.895,378.0504604853765
MA_ROTA,3,2,176.24,9516.96,6994965.6,0.0,6994965.6,1924317.1338159991,291324.72,4515533.16,181.28482887367767
MA_ROTA,4,1,165.87,8956.98,6583380.3,0.0,6583380.3,1811089.8943829993,274183.11,4249838.205,170.61799004355942
MA_ROTA,5,1,75.74,4089.96,3006120.6,0.0,3006120.6,826984.6783659996,125198.22,1940572.4100000001,77.90803982576229
MA_ROTA,6,1,202.25,10921.5,8027302.5,0.0,8027302.5,2208313.324524999,334319.25,5181948.375,208.03935905413815
MA_ROTA,7,3,58.74,3171.96,2331390.6,0.0,2331390.6,641366.2530659997,97097.22,1505006.91,60.42141879278158
ME,2,2,10.03,200.6,240720.0,0.0,240720.0,93690.27012,6298.84,97632.01999999999,3.9196266334785315
ME,3,2,179.33,3586.6,4303920.0,0.0,4303920.0,1675122.24732,112619.24,1745598.22,70.08042314872434
PN_TOUR,1,2,604.53,435.2616,2176308.0,0.0,2176308.0,909213.12,29621.97,459140.535,18.433086496577474
PN_TOUR,2,2,1725.19,1242.1368,6210684.0,0.0,6210684.0,2594685.76,84534.31,1310281.805,52.60380211574362
PN_TOUR,3,2,1298.81,935.1432,4675716.0,0.0,4675716.0,1953410.24,63641.69,986446.195,39.602794026135655
PN_TOUR,4,1,634.92,457.1424,2285712.0,0.0,2285712.0,954919.68,31111.079999999998,482221.74,19.359726197884257
PN_TOUR,5,1,208.62,150.2064,751032.0,0.0,751032.0,313764.48,10222.38,158446.89,6.361157436216552
PN_TOUR,6,1,280.28,201.80159999999998,1009008.0,0.0,1009008.0,421541.12,13733.72,212872.66,8.546185438705663
PN_TOUR,7,3,1357.08,977.0975999999999,4885488.0,0.0,4885488.0,2041048.32,66496.92,1030702.26,41.379539514623524
VE_BTGT,1,2,17.67,256.215,179350.5,0.0,179350.5,77173.74855999999,6401.2519999999995,99219.40599999999,3.983355320472931
VE_BTGT,2,2,38.54,558.83,391181.0,0.0,391181.0,168323.50138666664,13961.757333333333,216407.23866666667,8.68808794855839
VE_BTGT,3,2,51.76,750.52,525364.0,0.0,525364.0,226061.8690133333,18750.922666666665,290639.3013333333,11.668277950632648
VE_BTGT,4,1,53.61,777.345,544141.5,0.0,544141.5,234141.74647999997,19421.115999999998,301027.298,12.085324206596141
VE_BTGT,5,1,48.49,703.105,492173.5,0.0,492173.5,211780.13965333332,17566.310666666664,272277.81533333333,10.931120514416095
VE_BTGT,6,1,94.77,1374.165,961915.5,0.0,961915.5,413908.1013599999,34332.011999999995,532146.186,21.36403982576229
VE_BTGT,7,3,6.05,87.725,61407.5,0.0,61407.5,26423.38306666666,2191.713333333333,33971.556666666664,1.3638539722049365
